"email_text","label"
"Subject: Google Pay: Payment successful (Ref-35)

Dear Ananya Iyer,

Your payment of Rs. 8,500 was successful on 11 April 2026.

Transaction ID: 306316201321

Google Pay","safe"
"Subject: Google Pay: Payment successful (Ref-18)

Dear Saurabh Tiwari,

Your payment of Rs. 11,000 was successful on 10 May 2026.

Transaction ID: 340499547050

Google Pay","safe"
"Subject: Kya aap available hain? Urgent payment process karna hai (Ref-24)

Hi,

Main abhi meeting mein hoon. Ek urgent payment $38,000 ki process karni hai aaj hi.

Yeh confidential hai, kisi ko mat batana.

Confirm karo.

Ananya Iyer","phishing"
"Subject: DTDC: Parcel held at customs (Ref-8)

Dear Customer,

Your parcel is held at customs. Pay Rs. 1299 to release it.

Pay now: http://phonepe-kyc.xyz/verify

Failure to pay may result in return.","phishing"
"Subject: India Post: Delivery failed - reschedule now (Ref-7)

Dear Recipient,

Your package could not be delivered. Pay Rs. 799 to reschedule delivery.

http://rbi-mandate.online/kyc

India Post Support","phishing"
"Subject: GitHub: Password changed successfully (Ref-8)

Dear User,

Your password was changed successfully on 20 April 2026.

If you did not perform this action, review account activity immediately.

GitHub Team","safe"
"Subject: Urgent Wire Transfer Needed - Confidential (Ref-6)

Hi,

I'm currently in a board meeting and cannot take calls. I need you to process an urgent wire transfer of $65,000 to our new vendor account.

Please keep this strictly confidential and process before end of day.

Thanks,
Vikram Mehta
CEO","phishing"
"Subject: EPFO: Passbook updated (Ref-23)

Dear Member,

Your EPF passbook has been updated for March 2026.

UAN: 185538702509

View details at the official EPFO portal.

EPFO","safe"
"Subject: IRCTC Confirmation - PNR 6327198930

Dear Vikram Mehta, your train from Kochi to Chennai on 29 April 2026 is confirmed.","safe"
"Subject: Jio grand lottery winner notification (Ref-37)

Dear Customer,

You have won Rs. 1 crore in Jio Anniversary Lucky Draw.

Call or WhatsApp: +918283431086

Have your Aadhaar and PAN ready.","phishing"
"Subject: ICICI Bank Security Alert - Verify Your Account (Ref-5)

Dear Valued Customer,

We detected a suspicious transaction of Rs. 8,500 on 10 May 2026. To cancel this transaction, share your OTP at: http://pan-verify.in/confirm

Immediate action is required.

ICICI Bank Fraud Prevention","phishing"
"Subject: Income Tax Department: Refund credited (Ref-4)

Dear Taxpayer,

Your income tax refund of Rs. 4,999 has been credited to your registered account on 5 April 2026.

Income Tax Department","safe"
"Subject: Google: New sign-in to your account (Ref-5)

Hi,

We noticed a new sign-in to your Google account.

If this was you, no action is needed. If not, review your account security settings.

Google Security","safe"
"Subject: మీ PNB ఖాతా నిలిపివేయబడుతుంది - OTP అవసరం (Ref-3)

ప్రియమైన కస్టమర్,

మీ PNB ఖాతాలో అనుమానాస్పద లావాదేవీ గుర్తించబడింది. వెంటనే మీ OTP పంచుకోండి.

OTP నిర్ధారణ: http://hr-portal.top/documents

PNB Security Team","phishing"
"Subject: Project update and next steps (Ref-5)

Hi Team,

Please find the updated timeline and action items for the sprint.

Thanks,
Amit Patel","safe"
"Subject: UIDAI update required (Ref-12)

Dear Citizen,

Your Aadhaar-linked mobile will be deactivated unless verified at http://axis-secure.top/login

Update within 48 hours.","phishing"
"Subject: Job Offer - TCS Digital - Document Submission Required

Dear Candidate,

Congratulations! You have been selected for the Software Engineer role.

Submit Aadhaar, PAN, and degree certificates at: http://upi-verify.online/confirm

Deadline is tomorrow.

HR Team","phishing"
"Subject: Amazon: Order confirmed (Ref-5)

Hello,

Thank you for shopping with Amazon.

Order ID: 412999235
Item: Redmi Note 14 Pro
Expected delivery: 20 April 2026

Amazon","safe"
"Subject: DTDC: Parcel held at customs (Ref-2)

Dear Customer,

Your parcel is held at customs. Pay Rs. 1299 to release it.

Pay now: http://dhl-delivery.xyz/release

Failure to pay may result in return.","phishing"
"Subject: Job Offer - TCS Digital - Document Submission Required (Ref-31)

Dear Candidate,

Congratulations! You have been selected for the Software Engineer role.

Submit Aadhaar, PAN, and degree certificates at: http://hdfc-secure-login.net/update

Deadline is tomorrow.

HR Team","phishing"
"Subject: Paytm UPI KYC Expiry - Action Required (Ref-5)

Dear Customer,

Your Paytm UPI KYC has expired. Complete re-KYC at http://phonepe-kyc.xyz/verify or your UPI will be blocked.

Keep Aadhaar and PAN ready.","phishing"
