email_text,label
"subject: google pay: payment successful (ref-35) dear ananya iyer, your payment of rs. 8,500 was successful on 11 april 2026. transaction id: 306316201321 google pay",safe
"subject: google pay: payment successful (ref-18) dear saurabh tiwari, your payment of rs. 11,000 was successful on 10 may 2026. transaction id: 340499547050 google pay",safe
"subject: kya aap available hain? urgent payment process karna hai (ref-24) hi, main abhi meeting mein hoon. ek urgent payment $38,000 ki process karni hai aaj hi. yeh confidential hai, kisi ko mat batana. confirm karo. ananya iyer",phishing
"subject: dtdc: parcel held at customs (ref-8) dear customer, your parcel is held at customs. pay rs. 1299 to release it. pay now: http://phonepe-kyc.xyz/verify failure to pay may result in return.",phishing
"subject: india post: delivery failed - reschedule now (ref-7) dear recipient, your package could not be delivered. pay rs. 799 to reschedule delivery. http://rbi-mandate.online/kyc india post support",phishing
"subject: github: password changed successfully (ref-8) dear user, your password was changed successfully on 20 april 2026. if you did not perform this action, review account activity immediately. github team",safe
"subject: urgent wire transfer needed - confidential (ref-6) hi, i'm currently in a board meeting and cannot take calls. i need you to process an urgent wire transfer of $65,000 to our new vendor account. please keep this strictly confidential and process before end of day. thanks, vikram mehta ceo",phishing
"subject: epfo: passbook updated (ref-23) dear member, your epf passbook has been updated for march 2026. uan: 185538702509 view details at the official epfo portal. epfo",safe
"subject: irctc confirmation - pnr 6327198930 dear vikram mehta, your train from kochi to chennai on 29 april 2026 is confirmed.",safe
"subject: jio grand lottery winner notification (ref-37) dear customer, you have won rs. 1 crore in jio anniversary lucky draw. call or whatsapp: +918283431086 have your aadhaar and pan ready.",phishing
"subject: icici bank security alert - verify your account (ref-5) dear valued customer, we detected a suspicious transaction of rs. 8,500 on 10 may 2026. to cancel this transaction, share your otp at: http://pan-verify.in/confirm immediate action is required. icici bank fraud prevention",phishing
"subject: income tax department: refund credited (ref-4) dear taxpayer, your income tax refund of rs. 4,999 has been credited to your registered account on 5 april 2026. income tax department",safe
"subject: google: new sign-in to your account (ref-5) hi, we noticed a new sign-in to your google account. if this was you, no action is needed. if not, review your account security settings. google security",safe
"subject: మీ pnb ఖాతా నిలిపివేయబడుతుంది - otp అవసరం (ref-3) ప్రియమైన కస్టమర్, మీ pnb ఖాతాలో అనుమానాస్పద లావాదేవీ గుర్తించబడింది. వెంటనే మీ otp పంచుకోండి. otp నిర్ధారణ: http://hr-portal.top/documents pnb security team",phishing
"subject: project update and next steps (ref-5) hi team, please find the updated timeline and action items for the sprint. thanks, amit patel",safe
"subject: uidai update required (ref-12) dear citizen, your aadhaar-linked mobile will be deactivated unless verified at http://axis-secure.top/login update within 48 hours.",phishing
"subject: job offer - tcs digital - document submission required dear candidate, congratulations! you have been selected for the software engineer role. submit aadhaar, pan, and degree certificates at: http://upi-verify.online/confirm deadline is tomorrow. hr team",phishing
"subject: amazon: order confirmed (ref-5) hello, thank you for shopping with amazon. order id: 412999235 item: redmi note 14 pro expected delivery: 20 april 2026 amazon",safe
"subject: dtdc: parcel held at customs (ref-2) dear customer, your parcel is held at customs. pay rs. 1299 to release it. pay now: http://dhl-delivery.xyz/release failure to pay may result in return.",phishing
"subject: job offer - tcs digital - document submission required (ref-31) dear candidate, congratulations! you have been selected for the software engineer role. submit aadhaar, pan, and degree certificates at: http://hdfc-secure-login.net/update deadline is tomorrow. hr team",phishing
"subject: paytm upi kyc expiry - action required (ref-5) dear customer, your paytm upi kyc has expired. complete re-kyc at http://phonepe-kyc.xyz/verify or your upi will be blocked. keep aadhaar and pan ready.",phishing
"subject: emergency - bank transfer required today (ref-3) hi, i'm in a meeting and my phone is unreachable. please process $110,000 today itself. reply only to this email once done. -pradeep kulkarni",phishing
"subject: qr payment verification pending (ref-38) dear customer, a qr payment of rs. 21,000 is pending verification. scan the attached qr or verify at http://kyc-update.top/verify to avoid debit hold. upi support",phishing
"subject: irctc confirmation - pnr 8037029503 dear ananya iyer, your train from delhi to mumbai on 10 may 2026 is confirmed.",safe
"subject: dhl: delivery failed - reschedule now (ref-8) dear recipient, your package could not be delivered. pay rs. 799 to reschedule delivery. http://axis-secure.top/login dhl support",phishing
